Bias,Excitation
1.011,0.091798
1.01,0.090852
1.009,0.090728
1.008,0.091562
1.007,0.091931
1.006,0.092109
1.005,0.092357
1.004,0.091369
1.003,0.091708
1.002,0.091581
1.001,0.091118
1,0.091816
0.999,0.091428
0.998,0.091899
0.997,0.092219
0.996,0.092299
0.995,0.09128
0.994,0.090585
0.993,0.091926
0.992,0.091266
0.991,0.091588
0.99,0.091301
0.989,0.091459
0.988,0.092414
0.987,0.091732
0.986,0.090548
0.985,0.092127
0.984,0.092038
0.983,0.091675
0.982,0.092111
0.981,0.091531
0.98,0.091207
0.979,0.091757
0.978,0.092811
0.977,0.092711
0.976,0.091137
0.975,0.092245
0.974,0.092096
0.973,0.091456
0.972,0.091725
0.971,0.091866
0.97,0.0922
0.969,0.090753
0.968,0.091281
0.967,0.092369
0.966,0.091381
0.965,0.091743
0.964,0.091945
0.963,0.091948
0.962,0.092622
0.961,0.092469
0.96,0.091758
0.959,0.091651
0.958,0.091949
0.957,0.091505
0.956,0.091334
0.955,0.091747
0.954,0.091514
0.953,0.09216
0.952,0.09212
0.951,0.091976
0.95,0.092025
0.949,0.091744
0.948,0.092192
0.947,0.091356
0.946,0.092141
0.945,0.091512
0.944,0.09101
0.943,0.091975
0.942,0.09164
0.941,0.091509
0.94,0.091818
0.939,0.091552
0.938,0.091395
0.937,0.090953
0.936,0.091386
0.935,0.093019
0.934,0.091487
0.933,0.091564
0.932,0.090897
0.931,0.091004
0.93,0.09187
0.929,0.092015
0.928,0.091538
0.927,0.091467
0.926,0.092465
0.925,0.091745
0.924,0.09188
0.923,0.091931
0.922,0.091598
0.921,0.090403
0.92,0.091831
0.919,0.091813
0.918,0.091776
0.917,0.092041
0.916,0.09189
0.915,0.091091
0.914,0.091899
0.913,0.091162
0.912,0.091574
0.911,0.091246
0.91,0.091326
0.909,0.091737
0.908,0.091241
0.907,0.092417
0.906,0.091466
0.905,0.092356
0.904,0.091871
0.903,0.092059
0.902,0.091417
0.901,0.092043
0.9,0.092351
0.899,0.091533
0.898,0.091515
0.897,0.090995
0.896,0.091938
0.895,0.091493
0.894,0.091407
0.893,0.091109
0.892,0.091522
0.891,0.091241
0.89,0.091351
0.889,0.091243
0.888,0.090551
0.887,0.092042
0.886,0.091152
0.885,0.091339
0.884,0.09136
0.883,0.091561
0.882,0.090745
0.881,0.090927
0.88,0.091775
0.879,0.091093
0.878,0.091545
0.877,0.09148
0.876,0.091099
0.875,0.091408
0.874,0.091625
0.873,0.091453
0.872,0.090975
0.871,0.091082
0.87,0.092428
0.869,0.092552
0.868,0.091857
0.867,0.091545
0.866,0.092288
0.865,0.091227
0.864,0.091629
0.863,0.091268
0.862,0.091402
0.861,0.091958
0.86,0.092016
0.859,0.090871
0.858,0.091332
0.857,0.090965
0.856,0.09193
0.855,0.091245
0.854,0.091914
0.853,0.090904
0.852,0.091771
0.851,0.091802
0.85,0.092057
0.849,0.091992
0.848,0.091217
0.847,0.092125
0.846,0.091133
0.845,0.091782
0.844,0.091257
0.843,0.091611
0.842,0.091312
0.841,0.091489
0.84,0.092179
0.839,0.090762
0.838,0.09138
0.837,0.09137
0.836,0.091817
0.835,0.091158
0.834,0.09108
0.833,0.091925
0.832,0.091785
0.831,0.090589
0.83,0.092298
0.829,0.091605
0.828,0.091065
0.827,0.090249
0.826,0.091627
0.825,0.091885
0.824,0.091319
0.823,0.092353
0.822,0.090709
0.821,0.092508
0.82,0.092718
0.819,0.090677
0.818,0.090636
0.817,0.091896
0.816,0.091676
0.815,0.091803
0.814,0.090756
0.813,0.091357
0.812,0.091294
0.811,0.091205
0.81,0.091713
0.809,0.090709
0.808,0.090548
0.807,0.090698
0.806,0.09146
0.805,0.091959
0.804,0.090832
0.803,0.090983
0.802,0.091775
0.801,0.091071
0.8,0.091726
0.799,0.091119
0.798,0.091152
0.797,0.092083
0.796,0.091133
0.795,0.091227
0.794,0.091103
0.793,0.091037
0.792,0.090949
0.791,0.091214
0.79,0.091789
0.789,0.090996
0.788,0.09104
0.787,0.091188
0.786,0.091142
0.785,0.090712
0.784,0.0916
0.783,0.092227
0.782,0.090458
0.781,0.091374
0.78,0.091273
0.779,0.091124
0.778,0.091226
0.777,0.091625
0.776,0.091774
0.775,0.091061
0.774,0.090912
0.773,0.091794
0.772,0.091669
0.771,0.091645
0.77,0.092166
0.769,0.091551
0.768,0.090909
0.767,0.090933
0.766,0.091247
0.765,0.091817
0.764,0.091012
0.763,0.09126
0.762,0.091647
0.761,0.089628
0.76,0.091655
0.759,0.091342
0.758,0.091168
0.757,0.091846
0.756,0.091415
0.755,0.091438
0.754,0.091034
0.753,0.091328
0.752,0.091309
0.751,0.091689
0.75,0.091368
0.749,0.090636
0.748,0.09165
0.747,0.091479
0.746,0.091972
0.745,0.09086
0.744,0.091689
0.743,0.091455
0.742,0.091382
0.741,0.090245
0.74,0.091496
0.739,0.090723
0.738,0.091387
0.737,0.091822
0.736,0.091361
0.735,0.091612
0.734,0.090847
0.733,0.091393
0.732,0.091662
0.731,0.091598
0.73,0.091389
0.729,0.090524
0.728,0.090064
0.727,0.091637
0.726,0.091264
0.725,0.090541
0.724,0.09079
0.723,0.090495
0.722,0.091523
0.721,0.091441
0.72,0.091845
0.719,0.090241
0.718,0.091577
0.717,0.09074
0.716,0.09069
0.715,0.091408
0.714,0.09096
0.713,0.090722
0.712,0.09148
0.711,0.091228
0.71,0.090855
0.709,0.089751
0.708,0.090525
0.707,0.091368
0.706,0.091596
0.705,0.092353
0.704,0.090678
0.703,0.091146
0.702,0.090977
0.701,0.091102
0.7,0.090976
0.699,0.090825
0.698,0.090992
0.697,0.091203
0.696,0.090723
0.695,0.091413
0.694,0.090753
0.693,0.090188
0.692,0.091687
0.691,0.091473
0.69,0.091605
0.689,0.091049
0.688,0.090713
0.687,0.091993
0.686,0.090825
0.685,0.090494
0.684,0.091764
0.683,0.091287
0.682,0.091172
0.681,0.090861
0.68,0.090204
0.679,0.090269
0.678,0.091569
0.677,0.091458
0.676,0.092084
0.675,0.090904
0.674,0.090809
0.673,0.090828
0.672,0.091464
0.671,0.090268
0.67,0.091263
0.669,0.090886
0.668,0.090677
0.667,0.091303
0.666,0.090527
0.665,0.091151
0.664,0.09045
0.663,0.091409
0.662,0.091601
0.661,0.091528
0.66,0.091237
0.659,0.090833
0.658,0.091582
0.657,0.091333
0.656,0.090932
0.655,0.091426
0.654,0.090705
0.653,0.091179
0.652,0.091269
0.651,0.0912
0.65,0.091485
0.649,0.090781
0.648,0.090572
0.647,0.09127
0.646,0.091027
0.645,0.089662
0.644,0.090084
0.643,0.090403
0.642,0.091544
0.641,0.091251
0.64,0.09052
0.639,0.09132
0.638,0.091236
0.637,0.09219
0.636,0.091509
0.635,0.089857
0.634,0.091103
0.633,0.090968
0.632,0.091183
0.631,0.090702
0.63,0.089376
0.629,0.090409
0.628,0.090826
0.627,0.090889
0.626,0.091416
0.625,0.090209
0.624,0.090608
0.623,0.090814
0.622,0.091258
0.621,0.090936
0.62,0.0909
0.619,0.090718
0.618,0.091913
0.617,0.091392
0.616,0.090827
0.615,0.089782
0.614,0.09117
0.613,0.091935
0.612,0.090932
0.611,0.091647
0.61,0.090531
0.609,0.090685
0.608,0.090625
0.607,0.091376
0.606,0.090747
0.605,0.090946
0.604,0.089913
0.603,0.090969
0.602,0.091053
0.601,0.090432
0.6,0.090342
0.599,0.090487
0.598,0.090796
0.597,0.090583
0.596,0.090635
0.595,0.09074
0.594,0.090799
0.593,0.0911
0.592,0.09117
0.591,0.09135
0.59,0.091084
0.589,0.090329
0.588,0.091824
0.587,0.091319
0.586,0.091124
0.585,0.090591
0.584,0.091611
0.583,0.090991
0.582,0.091317
0.581,0.09076
0.58,0.090029
0.579,0.090896
0.578,0.090419
0.577,0.091846
0.576,0.089947
0.575,0.090467
0.574,0.09056
0.573,0.09174
0.572,0.091173
0.571,0.09028
0.57,0.090684
0.569,0.090545
0.568,0.090519
0.567,0.091743
0.566,0.090571
0.565,0.090032
0.564,0.090406
0.563,0.090912
0.562,0.09075
0.561,0.090158
0.56,0.090103
0.559,0.090916
0.558,0.090827
0.557,0.090386
0.556,0.090857
0.555,0.091324
0.554,0.090597
0.553,0.090792
0.552,0.091382
0.551,0.090596
0.55,0.091009
0.549,0.091301
0.548,0.091804
0.547,0.09098
0.546,0.090893
0.545,0.090881
0.544,0.09081
0.543,0.091546
0.542,0.090664
0.541,0.090451
0.54,0.090715
0.539,0.091004
0.538,0.090077
0.537,0.09051
0.536,0.091248
0.535,0.090784
0.534,0.09034
0.533,0.090544
0.532,0.090946
0.531,0.090632
0.53,0.091103
0.529,0.090765
0.528,0.090713
0.527,0.091223
0.526,0.090463
0.525,0.090785
0.524,0.091214
0.523,0.090422
0.522,0.09128
0.521,0.091016
0.52,0.090054
0.519,0.090348
0.518,0.090758
0.517,0.090678
0.516,0.090574
0.515,0.090568
0.514,0.091328
0.513,0.091463
0.512,0.091
0.511,0.090275
0.51,0.090327
0.509,0.091832
0.508,0.0919
0.507,0.091204
0.506,0.090494
0.505,0.089633
0.504,0.091142
0.503,0.09075
0.502,0.090552
0.501,0.090372
0.5,0.090745
0.499,0.091503
0.498,0.090724
0.497,0.091521
0.496,0.090334
0.495,0.091062
0.494,0.090597
0.493,0.090874
0.492,0.090843
0.491,0.090117
0.49,0.090567
0.489,0.091479
0.488,0.090607
0.487,0.09058
0.486,0.090166
0.485,0.089931
0.484,0.090624
0.483,0.089999
0.482,0.091164
0.481,0.090279
0.48,0.090291
0.479,0.090477
0.478,0.090812
0.477,0.090468
0.476,0.090924
0.475,0.090799
0.474,0.091176
0.473,0.090999
0.472,0.091434
0.471,0.090347
0.47,0.090442
0.469,0.091278
0.468,0.089883
0.467,0.090758
0.466,0.090587
0.465,0.09093
0.464,0.090538
0.463,0.090936
0.462,0.090475
0.461,0.09111
0.46,0.091134
0.459,0.090899
0.458,0.091376
0.457,0.090449
0.456,0.090696
0.455,0.090139
0.454,0.090871
0.453,0.09097
0.452,0.09039
0.451,0.089465
0.45,0.090325
0.449,0.090894
